City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,tofol,5.3248,163.0078,304.03,74,75,5.14,FM,1686524695
312,nadym,65.5333,72.5167,280.01,81,100,5.24,RU,1686524695
313,constantia,44.1833,28.65,289.65,85,78,5.64,RO,1686524476
314,porto belo,-27.1578,-48.5531,290.12,92,100,5.71,BR,1686524518
315,inarajan village,13.2736,144.7484,303.37,84,91,8.68,GU,1686524696
316,crane,31.3974,-102.3501,310.73,13,1,1.76,US,1686524696
317,minbu,20.1833,94.8833,300.71,68,18,3.04,MM,1686524696
318,fukuecho,32.6881,128.8419,295.98,87,92,2.26,JP,1686524696
319,gorom-gorom,14.4439,-0.2361,303.76,45,23,5.71,BF,1686524696
320,makokou,0.5738,12.8642,294.53,98,98,1.18,GA,1686524696
321,gadzhiyevo,69.2551,33.3362,287.6,60,99,7.34,RU,1686524696
322,port alfred,-33.5906,26.891,291.49,34,49,5.47,ZA,1686524697
323,joshimath,30.5667,79.5667,291.39,61,30,2.66,IN,1686524697
324,plastun,44.7561,136.2939,292.2,60,100,1.57,RU,1686524697
325,northam,51.0333,-4.2167,290.59,92,64,2.45,GB,1686524697
326,fort mcmurray,56.7268,-111.381,300.92,32,0,3.6,CA,1686524410
327,daru,-9.0763,143.2092,299.03,87,100,7.02,PG,1686524697
328,topeka,39.0483,-95.678,296.42,72,100,3.6,US,1686524697
329,freeport,40.6576,-73.5832,298.33,71,0,6.69,US,1686524697
330,naracoorte,-36.9579,140.7383,283.19,76,55,5.65,AU,1686524698
331,new norfolk,-42.7826,147.0587,282.55,85,91,0.92,AU,1686524673
332,vila franca do campo,37.7167,-25.4333,291.38,82,100,2.47,PT,1686524698
333,ulety,51.3572,112.4849,291.97,49,43,1.53,RU,1686524698
334,kyaikkami,16.08,97.5675,299.76,83,100,3.55,MM,1686524698
335,axim,4.8699,-2.2405,298.61,77,100,4.41,GH,1686524698
336,machali,-34.1833,-70.6667,276.75,93,0,1.56,CL,1686524698
337,kudahuvadhoo,2.6708,72.8944,301.41,79,46,6.36,MV,1686524698
338,fisterra,42.9049,-9.2629,289.83,89,2,4.23,ES,1686524699
339,nahiyat ash shinafiyah,31.5874,44.6602,307.49,21,0,4.09,IQ,1686524699
340,neyriz,29.1988,54.3278,297.46,28,3,1.3,IR,1686524699
341,portland,45.5234,-122.6762,302.36,50,9,2.68,US,1686524468
342,tamanrasset,22.785,5.5228,296.1,53,40,1.54,DZ,1686524699
343,novyy turtkul',41.55,61.0167,295.1,20,49,5.6,UZ,1686524699
344,igarka,67.4667,86.5833,282.42,68,100,10.1,RU,1686524699
345,yeppoon,-23.1333,150.7333,292.03,84,53,4.23,AU,1686524696
346,lazaro cardenas,17.9583,-102.2,303.17,58,1,4.94,MX,1686524700
347,novyy urengoy,66.0833,76.6333,280.81,74,51,4.2,RU,1686524700
348,zyryanskoye,56.8306,86.6258,281.39,72,0,2.87,RU,1686524700
349,ilukste,55.9775,26.2966,281.01,64,44,2.05,LV,1686524700
350,ginir,7.1333,40.7,287.12,83,69,2.21,ET,1686524700
351,ventnor,50.5948,-1.2037,291.29,91,52,3.29,GB,1686524700
352,okha,53.5739,142.9478,281.07,87,98,2.11,RU,1686524700
353,buka,40.8108,69.1986,299.3,34,73,2.64,UZ,1686524701
354,abatskoye,56.2875,70.4555,280.24,75,99,3.36,RU,1686524701
355,miracema do tocantins,-9.5618,-48.3967,300.12,48,4,0.83,BR,1686524701
356,polygyros,40.3744,23.4383,291.68,74,66,1.42,GR,1686524701
357,corinto,37.9407,22.9573,292.53,82,27,0.88,GR,1686524701
358,humahuaca,-23.2054,-65.3505,284.23,11,65,4.89,AR,1686524702
359,werther,52.0777,8.4179,290.6,71,13,1.8,DE,1686524702
360,tres lagoas,-20.7511,-51.6783,296.46,44,4,0.59,BR,1686524702
361,kaniv,49.7518,31.46,286.13,86,100,5.21,UA,1686524702
